"b1","tree","RF.cat","P","depth","RF","path.dif"
0,48,100,0.545162342062474,0,0,0
0,49,0,0.990379721989004,0,0,0
0,49,1,0.969456448326509,0.181818181818182,1,0
0,49,2,0.948412123156952,0.272727272727273,2,0
0,49,4,0.748312713714287,0.363636363636364,4,0
0,49,7,0.853028996244891,0.636363636363636,11,0
0,49,15,0.304214901401242,1,85,0
0,49,100,0.4257513610557,0,0,0
0,50,0,0.109741910653465,0,0,0
0,50,1,0.124862027124976,0.153846153846154,1,0
0,50,2,0.117265914875738,0.230769230769231,2,0
0,50,4,0.110189954636565,0.384615384615385,5,0
0,50,7,0.643066196759196,0.384615384615385,7,0
0,50,15,0.180762154970847,0.769230769230769,20,0
0,50,100,0.858148168883103,0,0,0
0,51,0,0.559775935754822,0,0,0
0,51,1,0.553967266469324,0.153846153846154,1,0
0,51,2,0.431167729520691,0.307692307692308,3,0
0,51,4,0.539988858827536,0.307692307692308,4,0
0,51,7,0.762448841155604,0.538461538461538,7,0
0,51,15,0.523929999596954,0.615384615384615,15,0
0,51,100,0.535706102007969,0,0,0
0,52,0,0.066150331406479,0,0,0
0,52,1,0.0626436172341101,0.166666666666667,1,0
0,52,2,0.0655268791616549,0.25,2,0
0,52,4,0.0501832275634457,0.416666666666667,4,0
0,52,7,0.14195905596786,0.5,7,0
0,52,15,0.616604346452206,1,80,0
0,52,100,0.803270539598673,0,0,0
0,53,0,0.755389472308852,0,0,0
0,53,1,0.929259514469473,0.166666666666667,1,0
0,53,2,0.561600957449614,0.25,2,0
0,53,4,0.85286691405458,0.333333333333333,4,0
0,53,7,0.101136158540137,0.5,11,0
0,53,15,0.788434473658561,0.583333333333333,19,0
0,53,100,0.722611376935318,0,0,0
0,54,0,0.553557563229349,0,0,0
0,54,1,0.54233488757054,0.153846153846154,1,0
0,54,2,0.40645484342969,0.230769230769231,2,0
0,54,4,0.692552074347262,0.384615384615385,5,0
0,54,7,0.23064950332954,0.615384615384615,12,0
0,54,15,0.758719794912399,1,81,0
0,54,100,0.430961789714878,0,0,0
