ROUTE,STATION,LAT,LONG,WIND,GROUSE
42,8,603370,5137259,1.549193338,0
43,1,604983,5136529,2.42899156,1
43,2,604992,5135759,2.121320344,0
43,3,604997,5134932,2.144761059,1
43,4,604236,5134896,2.701851217,1
43,6,603382,5135634,2.846049894,1
43,7,603380,5136434,2.949576241,1
43,8,604001,5136586,2.626785107,0
44,1,594714,5133219,2.323790008,0
44,5,596488,5131597,2.258317958,0
44,6,597181,5131709,0,1
44,7,597156,5132509,0,0
44,8,597351,5133056,1.449137675,1
45,1,609992,5126639,0,0
45,2,610719,5127030,1.516575089,0
45,3,611606,5127045,1.516575089,0
45,4,611591,5127857,0,0
45,5,611560,5128634,1.516575089,0
45,6,610756,5128808,0,1
45,7,610020,5128732,1.673320053,0
45,8,609972,5128069,1.224744871,0
46,1,603384,5141324,0,0
46,2,603368,5140516,2.28035085,0
46,3,603358,5139715,1.58113883,0
46,4,604118,5139705,0,1
46,5,604916,5139726,1.341640786,0
46,6,604936,5140498,0,1
46,7,604921,5141356,1.816590212,1
46,8,604189,5141343,1.61245155,1
47,1,604937,5139726,2.42899156,0
47,2,604955,5138922,1.870828693,0
47,3,604965,5138129,1.788854382,0
47,4,604165,5138099,2.167948339,0
47,5,603361,5138089,2.167948339,0
47,6,603355,5138874,1.095445115,0
47,7,603358,5139675,1.224744871,0
47,8,604146,5139706,1.516575089,0
48,1,604923,5141364,2.167948339,0
48,2,605733,5141379,1.341640786,0
48,3,606535,5141398,1.58113883,1
48,4,606531,5140614,1.378404875,0
48,5,606526,5139814,1.264911064,0
48,6,605767,5139738,0,0
48,7,604988,5139726,0,0
48,8,604936,5140479,1.264911064,0
49,1,601821,5136681,0,0
49,2,601845,5135883,1.449137675,0
49,3,601874,5135080,1.341640786,0
49,4,602532,5134904,0,0
49,5,603381,5134895,1.949358869,0
49,7,603377,5136418,1.974841766,0
50,1,609994,5127010,2.792848009,0
50,2,609193,5126989,0,1
50,3,608403,5126978,2.529822128,1
50,4,608386,5127778,1.949358869,0
50,5,608371,5128579,0,0
50,6,608592,5129204,1.760681686,0
50,7,609357,5129001,2.48997992,0
50,8,609954,5128627,1.949358869,0
43,5,603556,5134876,2.863564213,0
49,6,603379,5135622,2.50998008,0
